Usuario,CBO_5D,Prob
AlAcdeAn,517415,71.6
AlAcdeAn,848110,71.6
AlAcdeAn,211120,2.2
AlAcdeAn,773305,63.7
AlAcdeAn,420110,63.7
AlAcdeAn,314725,72
AlAcdeAn,720125,72
AlAcdeAn,773215,72
AlAcdeAn,314305,72
AlAcdeAn,823105,72
AlAcdeAn,631310,27
AlAcdeAn,841610,62.6
AlAcdeAn,862150,62.6
AlAcdeAn,848410,28.4
AlAcdeAn,613215,28.4
AlAcdeAn,374115,76.6
AlAcdeAn,223520,19
AlAcdeAn,251220,68.3
AlAcdeAn,821240,68.3
AlAcdeAn,410240,73.3
AlAcdeAn,325005,21.9
AlAcdeAn,914420,21.9
AlAcdeAn,234210,25.5
AlAcdeAn,715225,17.6
AlAcdeAn,761250,17.6
AlAcdeAn,351410,60.8
AlAcdeAn,234810,24.8
AlAcdeAn,342410,79.8
AlAcdeAn,914415,19.7
AlAcdeAn,716505,19.7
AlAcdeAn,223845,19.7
AlAcdeAn,643005,70.1
AlAcdeAn,201210,70.1
AlAcdeAn,514105,100
AlAcdeAn,740110,31.7
AlAcdeAn,765315,63.7
AlAcdeAn,331105,10.5
AlAcdeAn,225285,10.5
AlAcdeAn,710205,10.5
AlAcdeAn,711115,17
JoAlRoPeSa,842135,100
JoAlRoPeSa,511110,89.9
JoAlRoPeSa,254410,75.2
JoAlRoPeSa,225225,66.6
JoAlRoPeSa,239205,50.1
FlMiVa,821430,79.9
FlMiVa,225121,100
FlMiVa,142405,100
FlMiVa,632105,100
FlMiVa,262710,100
FlMiVa,413210,90.6
FlMiVa,420125,100
FlMiVa,122205,100
FlMiVa,141525,79.9
FlMiVa,752225,100
FlMiVa,111405,100
FlMiVa,318210,100
FlMiVa,773340,94.6
FlMiVa,761351,100
FlMiVa,752215,100
FlMiVa,31105,100
FlMiVa,643010,79.9
FlMiVa,782510,97.1
FlMiVa,811770,100
FlMiVa,517310,100
FlMiVa,951310,79.9
FlMiVa,262405,92.1
FlMiVa,314310,49.6
FlMiVa,811310,96.4
FlMiVa,761315,96.4
FlMiVa,313215,96.4
FlMiVa,251555,91
FlMiVa,750105,91
FlMiVa,122715,98.9
FlMiVa,232155,98.9
FlMiVa,813110,51.4
FlMiVa,422120,100
FlMiVa,376225,100
FlMiVa,612120,88.8
FlMiVa,715520,100
FlMiVa,761815,100
FlMiVa,342115,100
FlMiVa,122745,80.6
FlMiVa,413110,100
FlMiVa,715505,100
FlMiVa,311620,100
FlMiVa,234440,80.2
FlMiVa,374210,100
FlMiVa,312315,100
FlMiVa,318425,100
FlMiVa,391215,100
FlMiVa,234656,49.6
FlMiVa,773115,100
FlMiVa,415120,100
FlMiVa,324215,100
FlMiVa,213125,70.1
FlMiVa,811415,100
FlMiVa,862110,90.3
FlMiVa,724505,100
FlMiVa,214810,89.9
FlMiVa,318005,100
FlMiVa,253110,89.9
FlMiVa,252205,100
FlMiVa,711240,100
FlMiVa,314610,100
FlMiVa,261715,100
FlMiVa,414110,100
FlMiVa,716310,100
FlMiVa,951320,100
FlMiVa,225215,90.3
FlMiVa,213175,100
FlMiVa,612205,100
FlMiVa,123410,100
FlMiVa,214320,78.8
FlMiVa,225140,90.6
ViCaGa,214715,50
RoMa,632115,90.7
RoMa,252215,69.8
RoMa,752320,59.7
RoMa,223268,28.4
RoMa,632610,28.4
RoMa,421310,73.7
RoMa,420105,88.8
RoMa,848415,88.8
RoMa,821220,39.9
RoMa,201110,70.1
RoMa,724410,19
RoMa,517315,49.2
RoMa,254505,49.2
RoMa,919110,39.1
RoMa,513605,59.2
RoMa,374130,31.1
RoMa,763305,39.7
RoMa,725505,74.2
RoMa,241030,79.6
RoMa,515310,49.7
RoMa,342540,9.4
RoMa,761225,30.6
RoMa,322105,59
RoMa,214740,0
RoMa,411005,21.6
RoMa,716605,61.2
RoMa,411020,41.1
RoMa,516335,60.5
RoMa,913120,60.5
RoMa,992220,28.1
RoMa,715730,28.1
RoMa,214750,43.9
RoMa,724220,43.9
RoMa,862205,49.7
RoMa,766230,49.7
RoMa,203525,79.6
RoMa,723320,69.5
RoMa,722315,69.5
RoMa,251530,41.5
RoMa,766245,41.5
RoMa,422115,79.3
RoMa,860105,49.8
RoMa,311625,51.6
RoMa,632310,51.6
RoMa,376415,78.2
RoMa,423110,39.4
RoMa,262710,72.1
RoMa,841420,9.9
RoMa,720130,38.5
RoMa,318015,38.5
RoMa,332205,38.5
RoMa,832110,38.5
RoMa,424125,38.5
RoMa,223550,50.7
RoMa,761435,15.8
RoMa,711320,73
RoMa,722110,49.3
RoMa,841440,49.3
RoMa,391215,49.3
RoMa,21110,49.3
RoMa,314715,49.3
RoMa,632115,49.3
RoMa,322430,49.3
RoMa,612510,49.3
RoMa,111330,49.3
RoMa,313130,49.3
RoMa,521110,49.3
RoMa,515315,49.3
RoMa,242215,49.3
RoMa,613420,49.3
RoMa,141510,49.3
RoMa,204105,49.3
RoMa,725210,49.3
RoMa,222115,49.3
RoMa,914425,49.3
RoMa,910105,49.3
RoMa,811640,49.3
RoMa,225270,49.3
RoMa,762115,49.3
RoMa,263105,49.3
RoMa,214010,49.3
RoMa,232130,49.3
RoMa,915405,49.3
RoMa,761235,49.3
RoMa,831125,49.3
RoMa,324215,49.3
RoMa,239425,49.3
RoMa,724425,24.5
RoMa,424205,24.5
RoMa,262330,24.5
RoMa,781110,24.5
RoMa,862310,69.1
RoMa,762340,69.1
RoMa,353215,69.1
RoMa,777210,69.1
RoMa,354825,69.1
RoMa,622715,22
RoMa,848420,60.8
RoMa,762340,26.3
RoMa,620105,62.6
RoMa,632015,18
RoMa,761405,55.8
RoMa,715105,55.8
RoMa,262120,55.8
RoMa,262705,24.5
RoMa,374310,24.5
RoMa,242245,59.8
RoMa,823305,20.2
RoMa,391215,78.5
RoMa,142110,78.5
RoMa,710210,49.7
RoMa,354125,49.7
RoMa,123405,49.7
RoMa,373145,49.7
RoMa,231310,49.7
RoMa,241205,5.5
RoMa,223550,40
RoMa,231105,15.2
RoMa,841420,15.2
RoMa,732140,72
RoMa,213440,37.8
RoMa,318805,37.8
RoMa,841605,50.7
RoMa,391225,83.4
RoMa,820205,83.4
RoMa,761255,83.4
RoMa,782820,83.4
RoMa,371110,83.4
RoMa,351505,48.9
RoMa,261620,48.9
RoMa,833125,48.9
RoMa,511405,80.9
RoMa,252105,21.5
RoMa,241040,38.8
RoMa,642015,38.8
RoMa,612320,75.9
RoMa,513410,75.9
RoMa,761240,32.4
RoMa,821305,75.2
RoMa,632320,75.2
RoMa,766325,75.2
RoMa,731145,75.2
RoMa,841305,56.1
RoMa,241210,56.1
RoMa,214925,27.3
RoMa,214350,50
RoMa,763110,50
RoMa,764105,78.8
RoMa,766220,78.8
RoMa,715120,78.8
RoMa,515210,78.8
RoMa,724440,60.5
RoMa,314125,60.5
RoMa,317105,50.1
RoMa,632355,30
RoMa,342305,68.8
RoMa,414120,68.8
RoMa,203110,68.8
RoMa,422220,30.7
RoMa,782415,50.8
RoMa,111510,50.8
RoMa,841625,50.8
RoMa,241225,50.8
RoMa,725420,50.8
RoMa,223570,50.8
RoMa,225140,50.8
RoMa,811820,50.8
RoMa,831115,50.8
RoMa,341110,50.8
RoMa,142115,50.8
RoMa,722325,50.8
RoMa,342405,50.8
RoMa,782620,50.8
RoMa,342540,50.8
RoMa,841620,50.8
RoMa,521120,50.8
RoMa,375105,50.8
RoMa,915215,50.8
RoMa,251120,50.8
RoMa,254505,50.8
RoMa,311710,50.8
RoMa,342610,50.8
RoMa,374115,50.8
RoMa,353230,50.8
RoMa,341305,50.8
RoMa,122305,50.8
RoMa,715405,50.8
RoMa,233205,50.8
RoMa,953110,50.8
RoMa,722410,50.8
RoMa,214930,50.8
RoMa,740105,50.8
RoMa,517110,50.8
RoMa,352420,50.8
RoMa,314615,50.8
RoMa,632310,50.8
RoMa,632010,50.8
RoMa,823305,50.8
RoMa,234455,50.8
RoMa,510135,50.8
RoMa,313110,50.8
RoMa,411005,50.8
RoMa,224130,50.8
RoMa,848515,50.8
RoMa,623310,50.8
RoMa,374215,50.8
RoMa,791115,50.8
RoMa,752230,50.8
RoMa,214725,50.8
RoMa,342550,50.8
RoMa,203410,50.8
RoMa,752325,50.8
RoMa,214525,50.8
RoMa,723215,50.8
RoMa,783235,50.8
RoMa,623205,50.8
RoMa,711130,50.8
RoMa,251210,50.8
RoMa,242235,50.8
RoMa,742140,50.8
RoMa,810205,50.8
RoMa,391130,50.8
RoMa,111305,50.8
RoMa,760310,50.8
RoMa,992110,50.8
RoMa,231320,50.8
RoMa,632405,50.8
RoMa,511215,50.8
RoMa,721215,50.8
RoMa,622425,50.8
RoMa,412105,50.8
RoMa,823255,50.8
RoMa,519320,50.8
RoMa,760120,50.8
RoMa,519115,50.8
RoMa,377230,50.8
PaMaTa,775110,60.4
PaMaTa,732105,70.8
PaMaTa,318410,70.8
PaMaTa,254310,45.6
PaMaTa,242410,55
PaMaTa,623420,41
PaMaTa,214010,64.4
PaMaTa,717015,75.2
PaMaTa,241210,55
PaMaTa,723230,38.5
PaMaTa,773105,70.9
PaMaTa,234425,70.9
PaMaTa,752220,40.3
PaMaTa,251405,40.3
PaMaTa,772110,55.8
PaMaTa,313320,69.4
PaMaTa,842110,80.6
PaMaTa,720125,80.6
PaMaTa,761324,70.1
PaMaTa,375105,84.5
PaMaTa,721420,63.7
PaMaTa,623310,86.3
PaMaTa,514310,63.7
PaMaTa,720155,59
PaMaTa,832115,74.5
PaMaTa,630110,85.6
PaMaTa,322115,66.2
PaMaTa,223268,46.8
PaMaTa,516325,40.3
PaMaTa,764115,89.9
PaMaTa,515140,89.9
PaMaTa,225203,60.8
PaMaTa,782105,60.8
PaMaTa,225260,74.5
PaMaTa,225345,74.5
PaMaTa,760505,74.5
PaMaTa,413115,87.4
PaMaTa,142505,64.4
PaMaTa,711215,64.4
PaMaTa,752305,59.4
PaMaTa,842135,69.8
PaMaTa,631320,79.5
PaMaTa,215205,60.8
PaMaTa,751005,39.9
PaMaTa,773505,70.9
PaMaTa,715510,86
PaMaTa,223560,86
PaMaTa,214425,60.4
PaMaTa,262225,60.4
PaMaTa,225275,69.4
PaMaTa,318510,69.4
PaMaTa,772105,80.9
PaMaTa,374150,80.9
PaMaTa,622410,60.4
PaMaTa,213415,60.4
PaMaTa,352410,75.2
PaMaTa,241030,75.2
PaMaTa,992110,51.1
PaMaTa,841715,79.9
PaMaTa,764305,79.9
PaMaTa,251215,79.9
PaMaTa,821230,79.9
PaMaTa,241220,79.9
PaMaTa,848510,79.9
PaMaTa,242220,68.7
PaMaTa,424110,55.8
PaMaTa,213310,69.4
PaMaTa,715725,80.9
PaMaTa,643020,50.7
PaMaTa,711105,84.2
PaMaTa,516330,84.2
PaMaTa,782310,84.2
PaMaTa,811735,84.2
PaMaTa,214130,84.2
PaMaTa,783235,59.7
PaMaTa,223645,73
PaMaTa,420130,50.7
PaMaTa,811760,80.9
PaMaTa,415130,80.9
PaMaTa,203410,69.4
PaMaTa,214215,59.4
PaMaTa,323105,79.9
PaMaTa,213310,79.9
PaMaTa,723220,79.9
PaMaTa,234105,79.9
PaMaTa,422120,79.9
PaMaTa,142310,61.2
PaMaTa,311605,61.2
PaMaTa,841432,80.2
PaMaTa,111325,80.2
PaMaTa,725705,60.1
IvRiGu,771120,80.2
EdKrdaSi,342550,90
EdKrdaSi,233220,60.2
EdKrdaSi,820115,40.3
EdKrdaSi,741105,89.6
EdKrdaSi,828105,49.3
EdKrdaSi,213105,98.1
EdKrdaSi,232120,20.8
EdKrdaSi,514330,40
PaMaTa,710115,41.4
PaMaTa,722305,60.1
PaMaTa,213315,88.8
PaMaTa,214525,88.8
PaMaTa,234644,70.9
PaMaTa,122750,70.9
PaMaTa,823115,70.9
PaMaTa,261505,70.9
PaMaTa,782140,70.9
PaMaTa,761415,81.7
PaMaTa,214130,58.6
PaMaTa,914405,79.9
PaMaTa,311715,79.9
PaMaTa,353225,79.9
PaMaTa,811405,79.9
PaMaTa,773110,79.9
PaMaTa,833120,79.9
PaMaTa,813130,79.9
PaMaTa,841320,79.9
PaMaTa,724515,79.9
PaMaTa,723120,79.9
PaMaTa,223435,81
PaMaTa,813120,81
PaMaTa,716315,81
PaMaTa,820120,81
PaMaTa,513205,81
PaMaTa,823250,81
PaMaTa,761318,81
PaMaTa,766215,81
PaMaTa,823325,81
PaMaTa,311625,81
PaMaTa,211110,81
PaMaTa,768305,81
PaMaTa,842125,81
PaMaTa,724425,81
PaMaTa,231210,81
PaMaTa,763020,81
PaMaTa,811620,81
PaMaTa,723230,81
PaMaTa,354205,81
PaMaTa,252530,81
PaMaTa,821425,81
PaMaTa,377130,81
PaMaTa,214710,81
PaMaTa,821415,81
PaMaTa,413115,85.3
PaMaTa,234805,85.3
PaMaTa,314720,85.3
PaMaTa,725315,85.3
PaMaTa,841440,85.3
PaMaTa,317205,85.3
PaMaTa,711220,80.6
PaMaTa,841420,88.1
PaMaTa,722320,88.1
PaMaTa,202105,88.1
PaMaTa,411040,88.1
PaMaTa,514110,88.1
PaMaTa,811335,88.1
PaMaTa,354120,88.1
PaMaTa,761105,88.1
PaMaTa,741110,82.4
PaMaTa,768615,82.4
PaMaTa,780105,82.4
PaMaTa,317205,82.4
PaMaTa,211115,65.8
PaMaTa,351720,87.1
PaMaTa,351305,87.1
PaMaTa,213125,63.7
PaMaTa,233210,80.9
PaMaTa,391220,80.9
PaMaTa,314305,80.9
PaMaTa,722410,80.9
PaMaTa,762215,80.9
PaMaTa,911305,80.9
PaMaTa,841815,80.9
PaMaTa,773325,80.9
PaMaTa,222115,80.9
PaMaTa,776405,80.9
PaMaTa,261205,80.9
PaMaTa,715540,80.9
PaMaTa,862115,80.9
PaMaTa,773215,80.9
PaMaTa,351515,80.9
PaMaTa,762305,80.9
PaMaTa,421115,80.9
PaMaTa,715720,80.9
PaMaTa,913105,80.9
PaMaTa,841630,80.9
PaMaTa,377135,100
PaMaTa,862510,100
PaMaTa,811630,100
PaMaTa,773130,100
PaMaTa,524310,45
PaMaTa,631420,74.1
PaMaTa,721415,89.2
PaMaTa,232155,45.7
PaMaTa,915405,45.7
PaMaTa,234515,67.3
PaMaTa,915105,82
PaMaTa,213110,64.4
PaMaTa,514205,87.8
CaEmTodeOl,715120,50
CaEmTodeOl,773355,71.2
CaEmTodeOl,341120,80.6
CaEmTodeOl,773405,70.9
CaEmTodeOl,239410,90.3
CaEmTodeOl,791110,50.7
CaEmTodeOl,420135,90.3
CaEmTodeOl,262505,61.2
CaEmTodeOl,622510,90.7
CaEmTodeOl,742130,90.7
CaEmTodeOl,261110,90.7
CaEmTodeOl,241205,60.8
CaEmTodeOl,203215,60.8
CaEmTodeOl,234815,39.2
CaEmTodeOl,351510,69.4
CaEmTodeOl,761410,85.6
CaEmTodeOl,715205,95.3
CaEmTodeOl,354405,95.3
CaEmTodeOl,951105,60
CaEmTodeOl,841205,49.6
CaEmTodeOl,741105,96.4
CaEmTodeOl,225125,80.6
CaEmTodeOl,372105,80.6
CaEmTodeOl,612715,39.6
CaEmTodeOl,241225,89.6
CaEmTodeOl,622105,89.6
CaEmTodeOl,214225,95.4
CaEmTodeOl,234644,39.3
CaEmTodeOl,262115,70.2
CaEmTodeOl,783105,39.6
CaEmTodeOl,622210,89.6
CaEmTodeOl,223208,89.6
CaEmTodeOl,711245,59
CaEmTodeOl,354135,96.4
CaEmTodeOl,211110,96.4
CaEmTodeOl,513420,96.4
CaEmTodeOl,752405,96.4
CaEmTodeOl,770110,70.5
CaEmTodeOl,318410,70.5
CaEmTodeOl,225105,30.2
CaEmTodeOl,782320,90.6
CaEmTodeOl,261140,94.6
CaEmTodeOl,422210,94.6
CaEmTodeOl,612705,85.2
CaEmTodeOl,122105,85.2
CaEmTodeOl,422210,85.2
CaEmTodeOl,201220,85.2
CaEmTodeOl,724310,94.9
CaEmTodeOl,831120,94.9
CaEmTodeOl,761333,94.9
CaEmTodeOl,31105,49.9
CaEmTodeOl,730105,79.4
CaEmTodeOl,716405,86.2
CaEmTodeOl,214750,86.2
CaEmTodeOl,374405,40.2
CaEmTodeOl,761255,79.4
CaEmTodeOl,811105,85.5
CaEmTodeOl,225142,95.2
CaEmTodeOl,214325,65
CaEmTodeOl,20105,65
CaEmTodeOl,223815,90.2
CaEmTodeOl,251505,90.2
CaEmTodeOl,811115,90.2
CaEmTodeOl,311505,68.3
CaEmTodeOl,822115,94.6
CaEmTodeOl,141615,79.5
CaEmTodeOl,234604,95
CaEmTodeOl,722405,95
CaEmTodeOl,252310,49.7
CaEmTodeOl,821430,85.7
CaEmTodeOl,762340,85.7
CaEmTodeOl,231325,80.7
CaEmTodeOl,720105,89.3
CaEmTodeOl,223232,50.5
CaEmTodeOl,224130,95.8
CaEmTodeOl,715220,79.6
CaEmTodeOl,951320,79.6
CaEmTodeOl,761435,79.6
CaEmTodeOl,142515,39.7
CaEmTodeOl,333105,75
CaEmTodeOl,142415,95.1
CaEmTodeOl,722115,80.7
CaEmTodeOl,241035,86.1
CaEmTodeOl,631015,60.6
CaEmTodeOl,332205,81.1
CaEmTodeOl,214435,90.1
CaEmTodeOl,515325,50.2
CaEmTodeOl,910130,50.2
CaEmTodeOl,424210,95.2
CaEmTodeOl,223510,79.7
CaEmTodeOl,213310,91.2
CaEmTodeOl,352205,54.5
CaEmTodeOl,233215,74.6
CaEmTodeOl,862115,90.1
CaEmTodeOl,776420,65.3
CaEmTodeOl,517225,84.4
CaEmTodeOl,354605,90.2
CaEmTodeOl,724305,79.8
CaEmTodeOl,223635,65.8
CaEmTodeOl,234435,50.7
CaEmTodeOl,226110,80.2
CaEmTodeOl,766105,89.6
CaEmTodeOl,862160,89.6
CaEmTodeOl,251205,64.4
CaEmTodeOl,377130,59.4
CaEmTodeOl,334105,85.7
CaEmTodeOl,731325,85.7
CaEmTodeOl,763120,90.7
CaEmTodeOl,783105,90.7
CaEmTodeOl,752315,90.7
CaEmTodeOl,761430,90.7
CaEmTodeOl,261215,59
CaEmTodeOl,377245,91
CaEmTodeOl,711235,91
CaEmTodeOl,612315,55.4
CaEmTodeOl,354210,80.6
CaEmTodeOl,314110,70.9
CaEmTodeOl,848105,70.9
CaEmTodeOl,766125,95.7
CaEmTodeOl,766155,59.7
CaEmTodeOl,752315,96
CaEmTodeOl,848520,80.5
CaEmTodeOl,215130,69
CaEmTodeOl,723315,79.4
CaEmTodeOl,422320,90.9
CaEmTodeOl,214705,40.2
CaEmTodeOl,841468,95.6
CaEmTodeOl,253305,69
CaEmTodeOl,313210,69
CaEmTodeOl,211215,90.9
CaEmTodeOl,122750,90.9
CaEmTodeOl,141405,79.7
CaEmTodeOl,341310,79.7
CaEmTodeOl,203305,70
CaEmTodeOl,122715,89.1
CaEmTodeOl,225250,89.1
CaEmTodeOl,612105,89.1
CaEmTodeOl,519105,79
CaEmTodeOl,716210,70
CaEmTodeOl,516110,50.9
CaEmTodeOl,214105,44.8
CaEmTodeOl,761354,90.8
CaEmTodeOl,914425,71
CaEmTodeOl,262830,71
CaEmTodeOl,223276,61.3
CaEmTodeOl,763215,94
CaEmTodeOl,203410,60.5
CaEmTodeOl,833205,94
CaEmTodeOl,223445,69.5
CaEmTodeOl,514310,60.1
CaEmTodeOl,725225,83.8
CaEmTodeOl,223630,69.4
CaEmTodeOl,711315,89.9
CaEmTodeOl,254305,79.5
CaEmTodeOl,516610,60.4
CaEmTodeOl,731320,60.4
CaEmTodeOl,762315,90.3
CaEmTodeOl,377120,40.3
CaEmTodeOl,613310,80.9
CaEmTodeOl,233225,85.2
CaEmTodeOl,242405,60
CaEmTodeOl,331110,78.7
CaEmTodeOl,842215,84.5
CaEmTodeOl,712105,89.2
CaEmTodeOl,821325,89.2
CaEmTodeOl,763210,89.2
CaEmTodeOl,262820,39.6
